Sr. No,State,Helpline Nos.
1,Andhra Pradesh,0866-2410978
2,Arunachal Pradesh,94360-55743
3,Assam,69133-47770
4,Bihar,104
5,Chhattisgarh,104
6,Goa,104
7,Gujarat,104
8,Haryana,85588-93911
9,Himachal Pradesh,104
10,Jharkhand,104
11,Karnataka,104
12,Kerala,0471-2552056
13,Madhya Pradesh,104
14,Maharashtra,020-26127394
15,Manipur,38524-11668
16,Meghalaya,108
17,Mizoram,102
18,Nagaland,70055-39653
19,Odisha,94399-94859
20,Punjab,104
21,Rajasthan,0141-2225624
22,Sikkim,104
23,Tamil Nadu,044-29510500
24,Telangana,104
25,Tripura,0381-2315879
26,Uttarakhand,104
27,Uttar Pradesh,1800-1805145
28,West Bengal,"1800-313444222, 033-23412600"
29,"Andaman and Nicobar
Islands",03192-232102
30,Chandigarh,97795-58282
31,Dadra and Nagar Haveli and Daman & Diu,104
32,Delhi,011-22307145
33,Jammu & Kashmir,"0191-2520982, 0194-2440283"
34,Ladakh,198-2256462
35,Lakshadweep,104
36,Puducherry,104
