Sr. No.,State,Type,Hospital,Latitude,Longitude
1,Andhra Pradesh,RT-PCR,"Sri Venkateswara Institute of Medical Sciences,",13.6379,79.4039
2,Andhra Pradesh,RT-PCR,"Sri Venkateswara Medical College, Tirupati",13.6379,79.4039
3,Andhra Pradesh,RT-PCR,"Rangaraya Medical College, Kakinada",16.9792,82.2373
4,Andhra Pradesh,RT-PCR,"Sidhartha Medical College, Vijaywada",16.5174,80.6713
5,Andhra Pradesh,RT-PCR,"Govt. Medical College, Ananthpur",14.6712,77.5929
6,Andhra Pradesh,RT-PCR,"Guntur Medical College, Guntur",16.2982,80.4383
7,Andhra Pradesh,RT-PCR,"Rajiv Gandhi Institute of Medical Sciences, Kadapa",17.518709,78.61344
8,Andhra Pradesh,RT-PCR,"Andhra Medical College, Visakhapatnam",15.8218,78.03884
9,Andhra Pradesh,RT-PCR,"Govt. Kurnool Medical College, Kurnool",15.8208694,78.0381
10,Andhra Pradesh,RT-PCR,"Govt. Medical College, Srikakulam",20.47445,85.88837
11,Andhra Pradesh,TrueNat,"Damien TB Research Centre, Nellore",14.413,79.968
12,Andhra Pradesh,TrueNat,"SVRR Govt. General Hospital, Tirupati",13.6447,79.4058
13,Andhra Pradesh,TrueNat,"Community Health Centre, Gadi Veedhi Saluru,Vizianagaram",20.47445,85.88837
14,Andhra Pradesh,TrueNat,"Community Health Centre, Bhimavaram, West Godavari,Godavari District",16.9174,81.3399
15,Andhra Pradesh,TrueNat,"Community Health Centre, Patapatnam",18.7505,84.0916
16,Andhra Pradesh,TrueNat,"Community Health Center, Nandyal Banaganapalli, Kurnool",15.8281,78.0373
17,Andhra Pradesh,TrueNat,"GSL Medical College & General Hospital, Rajahnagram, East Godavari District",17.3213,82.0407
18,Andhra Pradesh,TrueNat,"District Hospital, Madnapalle, Chittoor District",13.2172,79.1003
19,Andhra Pradesh,TrueNat,"District Hospital APVVP, Pulivendula, Kadapa",14.4222,78.2263
20,Andhra Pradesh,TrueNat,"District Hospital, Rajahmundry, East Godavari",17.3213,82.0407
21,Andhra Pradesh,TrueNat,"District Hospital, Noonepalli, Nandyal, Kurnool",15.8281,78.0373
22,Andhra Pradesh,TrueNat,"District Hospital, Anakapalli, Vishakhapatnam",15.8218,78.03884
23,Andhra Pradesh,TrueNat,"District Hospital, Hindupur, Anantpur",13.8223,77.5009
24,Andhra Pradesh,TrueNat,"District Hospital, Proddatur",14.7526,78.5541
25,Andhra Pradesh,TrueNat,"District Hospital, Machlipatnam",16.1809,81.1303
26,Andhra Pradesh,TrueNat,"District Hospital, Atmakur",15.879,78.5853
27,Andhra Pradesh,TrueNat,"District Hospital, Markapur",15.7362,79.2691
28,Andhra Pradesh,TrueNat,"District Hospital, Tekkali",18.6058,84.2302
29,Andhra Pradesh,TrueNat,"Area Hospital, Rampachodavaram, East Godavari",17.4367,81.776
